Name,Image,Type,Group,Rarity,Item id,Becomes,Drawn at,Family tags,Weight kg,What it is,Note
Sunderstave,,Icon,Cost 4,Common,force-staff,items/force-staff.webp + force-staff-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Staff",1.6,"A caster’s stave that throws nothing at all, very hard.",
Loadstave,,Icon,Cost 4,Common,blunt-staff,items/blunt-staff.webp + blunt-staff-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Staff",1.6,A caster’s stave that lands like something much heavier than a stave.,
Paired Light Weapon,,Icon,Cost 4,Common,paired-light,items/paired-light.webp + paired-light-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Light Melee, Paired",3,"A full weapon in each hand, and nothing spare to catch anything with.",
Melee Light + Shield,,Icon,Cost 4,Common,melee-light-shield,items/melee-light-shield.webp + melee-light-shield-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Shielded",6,"A blade in one hand, a wall of banded wood in the other.",
Melee Great,,Icon,Cost 5,Common,melee-great,items/melee-great.webp + melee-great-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Great, Melee, Two-Handed, Great Melee",8,"A greatsword built at siege scale, swung once and meant once.",
Great Bow,,Icon,Cost 5,Common,great-bow,items/great-bow.webp + great-bow-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Great, Ranged, Two-Handed, Bow",6,A siege bow braced against the ground and drawn on the whole body.,
Great Polearm,,Icon,Cost 5,Common,great-polearm,items/great-polearm.webp + great-polearm-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Great, Melee, Two-Handed, Polearm, Reach",7,"A wall-breaker on a haft, and it reaches the rank behind the one it hit.",
Heavy Crossbow,,Icon,Cost 5,Common,heavy-crossbow,items/heavy-crossbow.webp + heavy-crossbow-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Crossbow",6,"A windlass, a steel prod and one bolt at a time.",
Decay Censer,,Icon,Cost 5,Common,decay-censer,items/decay-censer.webp + decay-censer-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Censer",2,"A pierced brass bulb on a chain, and the smoke off it does not rise.",
Sacred Censer,,Icon,Cost 5,Common,sacred-censer,items/sacred-censer.webp + sacred-censer-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Censer",2,"A pierced brass bulb on a chain, swung the way a bell is rung.",
Psychic Censer,,Icon,Cost 5,Common,psychic-censer,items/psychic-censer.webp + psychic-censer-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Censer",2,"A pierced brass bulb on a chain, and the smoke smells like something you said.",
Paired Heavy Weapon,,Icon,Cost 5,Common,paired-heavy,items/paired-heavy.webp + paired-heavy-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Heavy Melee, Paired",7,"Two weapons that each wanted both hands, and you gave them one apiece.",
Melee Heavy + Shield,,Icon,Cost 5,Common,melee-heavy-shield,items/melee-heavy-shield.webp + melee-heavy-shield-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Shielded",8,"A two-hander swung one-handed, because the other hand is holding a door.",
Ballista,,Icon,Cost 6,Common,ballista,items/ballista.webp + ballista-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Crossbow",15,A siege engine with a shoulder stock bolted to it. It was never meant to be carried.,
Paired Great Weapon,,Icon,Cost 6,Common,paired-great,items/paired-great.webp + paired-great-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Great, Melee, Two-Handed, Great Melee, Paired",16,"Two of them, one in each hand, and nothing left over for a shield.",
Claws & Teeth,,Icon,Natural,Common,claws-and-teeth,items/claws-and-teeth.webp + claws-and-teeth-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Natural",0,"What you were born with, when nothing else is left in your hands.",Not sold. It is what a Feral Cursed has in hand while the form runs.
Cold-Infused Sword,,Icon,Enchanted,Uncommon,cold-infused-sword,items/cold-infused-sword.webp + cold-infused-sword-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, One-Handed, Light Melee",1.5,A one-handed sword whose edge never stops shedding frost.,"Teaches another weapon’s cards, so it needs this icon and no card art."
Imbued Flintlock Pistol,,Icon,Enchanted,Uncommon,imbued-flintlock-pistol,items/imbued-flintlock-pistol.webp + imbued-flintlock-pistol-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Firearm",1.5,A pistol with green vines chased along the barrel.,"Teaches another weapon’s cards, so it needs this icon and no card art."
Patien,,Icon,Enchanted,Rare,patien,items/patien.webp + patien-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, One-Handed, Light Melee",1.5,A plain one-handed sword that never seems to be caught off guard.,"Teaches another weapon’s cards, so it needs this icon and no card art."
Deep Sea Trident,,Icon,Enchanted,Epic,deep-sea-trident,items/deep-sea-trident.webp + deep-sea-trident-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Polearm, Reach",4,A barnacled trident that sheds frost and keeps ice in orbit around whoever holds it.,"Teaches another weapon’s cards, so it needs this icon and no card art."
Grave-Lantern Blade,,Icon,Enchanted,Rare,grave-lantern-blade,items/grave-lantern-blade.webp + grave-lantern-blade-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, One-Handed, Light Melee",1.6,A pitted sword that burns green along the fuller and rots what it cuts.,"Teaches another weapon’s cards, so it needs this icon and no card art."
